Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2016,SFN,NL,146,False,League_Runs_per_Game,0.30864004769272263,League Average Per-Game
2017,SFN,NL,140,False,League_Runs_per_Game,0.31921179480655326,League Average Per-Game
2018,SFN,NL,105,False,League_Runs_per_Game,0.3021371699958095,League Average Per-Game
2019,SFN,NL,114,False,League_Runs_per_Game,0.3273673344121422,League Average Per-Game
2021,SFN,NL,113,False,League_Runs_per_Game,0.30731210119936886,League Average Per-Game
2009,SFN,NL,7,False,League_Walks_per_Game,0.24073698542831484,League Average Per-Game
2010,SFN,NL,108,True,League_Walks_per_Game,0.2289287735233093,League Average Per-Game
2011,SFN,NL,45,False,League_Walks_per_Game,0.21851038135284961,League Average Per-Game
2012,SFN,NL,148,True,League_Walks_per_Game,0.21158244508695465,League Average Per-Game
2013,SFN,NL,148,False,League_Walks_per_Game,0.21135300571692556,League Average Per-Game
2014,SFN,NL,147,True,League_Walks_per_Game,0.20154102696797194,League Average Per-Game
2015,SFN,NL,150,False,League_Walks_per_Game,0.1995207984801656,League Average Per-Game
2016,SFN,NL,146,False,League_Walks_per_Game,0.2141630353011313,League Average Per-Game
2017,SFN,NL,140,False,League_Walks_per_Game,0.22375358692732847,League Average Per-Game
2018,SFN,NL,105,False,League_Walks_per_Game,0.2191088140801788,League Average Per-Game
2019,SFN,NL,114,False,League_Walks_per_Game,0.2217370682439596,League Average Per-Game
2021,SFN,NL,113,False,League_Walks_per_Game,0.22052191396378157,League Average Per-Game
2009,SFN,NL,7,False,League_Strikeouts_per_Game,0.486558127408094,League Average Per-Game
2010,SFN,NL,108,True,League_Strikeouts_per_Game,0.4977583029845765,League Average Per-Game
2011,SFN,NL,45,False,League_Strikeouts_per_Game,0.5017969125114581,League Average Per-Game
2012,SFN,NL,148,True,League_Strikeouts_per_Game,0.5239718638070168,League Average Per-Game
2013,SFN,NL,148,False,League_Strikeouts_per_Game,0.5299705491713346,League Average Per-Game
2014,SFN,NL,147,True,League_Strikeouts_per_Game,0.5382237939163935,League Average Per-Game
2015,SFN,NL,150,False,League_Strikeouts_per_Game,0.5308929027135849,League Average Per-Game
2016,SFN,NL,146,False,League_Strikeouts_per_Game,0.553320747753758,League Average Per-Game
2017,SFN,NL,140,False,League_Strikeouts_per_Game,0.5668970781561427,League Average Per-Game
2018,SFN,NL,105,False,League_Strikeouts_per_Game,0.5755971504400055,League Average Per-Game
2019,SFN,NL,114,False,League_Strikeouts_per_Game,0.5973857485631382,League Average Per-Game
2021,SFN,NL,113,False,League_Strikeouts_per_Game,0.5884447298976556,League Average Per-Game
2009,SFN,NL,7,False,League_Doubles_per_Game,0.1265534922796141,League Average Per-Game
2010,SFN,NL,108,True,League_Doubles_per_Game,0.12312647814164043,League Average Per-Game
2011,SFN,NL,45,False,League_Doubles_per_Game,0.12220460067802529,League Average Per-Game
2012,SFN,NL,148,True,League_Doubles_per_Game,0.11883082322818223,League Average Per-Game
2013,SFN,NL,148,False,League_Doubles_per_Game,0.11869838886643182,League Average Per-Game
2014,SFN,NL,147,True,League_Doubles_per_Game,0.116971421999885,League Average Per-Game
2015,SFN,NL,150,False,League_Doubles_per_Game,0.11685144752885132,League Average Per-Game
2016,SFN,NL,146,False,League_Doubles_per_Game,0.11715944415267349,League Average Per-Game
2017,SFN,NL,140,False,League_Doubles_per_Game,0.11869725626563757,League Average Per-Game
2018,SFN,NL,105,False,League_Doubles_per_Game,0.11543511663640173,League Average Per-Game
2019,SFN,NL,114,False,League_Doubles_per_Game,0.11900842586909212,League Average Per-Game
2021,SFN,NL,113,False,League_Doubles_per_Game,0.10978623588053783,League Average Per-Game
2009,SFN,NL,7,False,League_Triples_per_Game,0.013746052898403777,League Average Per-Game
2010,SFN,NL,108,True,League_Triples_per_Game,0.012565110779007849,League Average Per-Game
2011,SFN,NL,45,False,League_Triples_per_Game,0.01306580919262611,League Average Per-Game
2012,SFN,NL,148,True,League_Triples_per_Game,0.013334484097872523,League Average Per-Game
2013,SFN,NL,148,False,League_Triples_per_Game,0.011145117514581047,League Average Per-Game
2014,SFN,NL,147,True,League_Triples_per_Game,0.012204588580300154,League Average Per-Game
2015,SFN,NL,150,False,League_Triples_per_Game,0.013312728613151104,League Average Per-Game
2016,SFN,NL,146,False,League_Triples_per_Game,0.012391591318788947,League Average Per-Game
2017,SFN,NL,140,False,League_Triples_per_Game,0.011237860989779906,League Average Per-Game
2018,SFN,NL,105,False,League_Triples_per_Game,0.011831261349350468,League Average Per-Game
2019,SFN,NL,114,False,League_Triples_per_Game,0.010950839796886335,League Average Per-Game
2021,SFN,NL,113,False,League_Triples_per_Game,0.009368760559053908,League Average Per-Game
2009,SFN,NL,7,False,Hits_vs_League,-0.34472112666730126,Posey Relative to League
2010,SFN,NL,108,True,Hits_vs_League,0.530716596081289,Posey Relative to League
2011,SFN,NL,45,False,Hits_vs_League,0.4072416463372246,Posey Relative to League
2012,SFN,NL,148,True,Hits_vs_League,0.5976450925529594,Posey Relative to League
2013,SFN,NL,148,False,Hits_vs_League,0.42610058230546766,Posey Relative to League
2014,SFN,NL,147,True,Hits_vs_League,0.5585239961087074,Posey Relative to League
2015,SFN,NL,150,False,Hits_vs_League,0.5830396688122039,Posey Relative to League
2016,SFN,NL,146,False,Hits_vs_League,0.4615671865979717,Posey Relative to League
2017,SFN,NL,140,False,Hits_vs_League,0.531833942177015,Posey Relative to League
2018,SFN,NL,105,False,Hits_vs_League,0.5032333592747058,Posey Relative to League
2019,SFN,NL,114,False,Hits_vs_League,0.3258318428737431,Posey Relative to League
2021,SFN,NL,113,False,Hits_vs_League,0.5106560801307474,Posey Relative to League
2009,SFN,NL,7,False,HR_vs_League,-0.07303224311248878,Posey Relative to League
2010,SFN,NL,108,True,HR_vs_League,0.09973496225146665,Posey Relative to League
2011,SFN,NL,45,False,HR_vs_League,0.02265774919530976,Posey Relative to League
2012,SFN,NL,148,True,HR_vs_League,0.09118875920757422,Posey Relative to League
2013,SFN,NL,148,False,HR_vs_League,0.03406198252303237,Posey Relative to League
2014,SFN,NL,147,True,HR_vs_League,0.08948506088652469,Posey Relative to League
2015,SFN,NL,150,False,HR_vs_League,0.057069025812610474,Posey Relative to League
2016,SFN,NL,146,False,HR_vs_League,0.01626059732957308,Posey Relative to League
2017,SFN,NL,140,False,HR_vs_League,-0.000584005282703387,Posey Relative to League
2018,SFN,NL,105,False,HR_vs_League,-0.030394641443670628,Posey Relative to League
2019,SFN,NL,114,False,HR_vs_League,-0.03312246634106611,Posey Relative to League
2021,SFN,NL,113,False,HR_vs_League,0.0762996169734664,Posey Relative to League
2009,SFN,NL,7,False,RBI_vs_League,-0.3094527651438338,Posey Relative to League
2010,SFN,NL,108,True,RBI_vs_League,0.32600435710881004,Posey Relative to League
2011,SFN,NL,45,False,RBI_vs_League,0.17852046928273846,Posey Relative to League
2012,SFN,NL,148,True,RBI_vs_League,0.4082835802617445,Posey Relative to League
2013,SFN,NL,148,False,RBI_vs_League,0.20827721236279306,Posey Relative to League
2014,SFN,NL,147,True,RBI_vs_League,0.3359780862491624,Posey Relative to League
2015,SFN,NL,150,False,RBI_vs_League,0.35474428408049075,Posey Relative to League
2016,SFN,NL,146,False,RBI_vs_League,0.2534852262030755,Posey Relative to League
2017,SFN,NL,140,False,RBI_vs_League,0.17383456414667986,Posey Relative to League
2018,SFN,NL,105,False,RBI_vs_League,0.10264269417782479,Posey Relative to League
2019,SFN,NL,114,False,RBI_vs_League,0.019860312854565354,Posey Relative to League
2021,SFN,NL,113,False,RBI_vs_League,0.20246286592415608,Posey Relative to League
2009,SFN,NL,7,False,Runs_vs_League,-0.181877061494084,Posey Relative to League
2010,SFN,NL,108,True,Runs_vs_League,0.22787147066394325,Posey Relative to League
2011,SFN,NL,45,False,Runs_vs_League,0.07502348192013397,Posey Relative to League
2012,SFN,NL,148,True,Runs_vs_League,0.22470679802488364,Posey Relative to League
2013,SFN,NL,148,False,Runs_vs_League,0.11974719421159336,Posey Relative to League
2014,SFN,NL,147,True,Runs_vs_League,0.2057265721537882,Posey Relative to League
2015,SFN,NL,150,False,Runs_vs_League,0.20060925700135163,Posey Relative to League
2016,SFN,NL,146,False,Runs_vs_League,0.25300378792371575,Posey Relative to League
2017,SFN,NL,140,False,Runs_vs_League,0.12364534805058958,Posey Relative to League
2018,SFN,NL,105,False,Runs_vs_League,0.14548187762323816,Posey Relative to League
2019,SFN,NL,114,False,Runs_vs_League,0.04982564804399814,Posey Relative to League
2021,SFN,NL,113,False,Runs_vs_League,0.29445781030505597,Posey Relative to League
2009,SFN,NL,7,False,Walks_vs_League,-0.24073698542831484,Posey Relative to League
2010,SFN,NL,108,True,Walks_vs_League,0.0488490042544685,Posey Relative to League
2011,SFN,NL,45,False,Walks_vs_League,0.1814896186471504,Posey Relative to League
2012,SFN,NL,148,True,Walks_vs_League,0.25463377112926155,Posey Relative to League
2013,SFN,NL,148,False,Walks_vs_League,0.19405239968847987,Posey Relative to League
2014,SFN,NL,147,True,Walks_vs_League,0.11818686418849067,Posey Relative to League
2015,SFN,NL,150,False,Walks_vs_League,0.17381253485316775,Posey Relative to League
2016,SFN,NL,146,False,Walks_vs_League,0.22419312908243033,Posey Relative to League
2017,SFN,NL,140,False,Walks_vs_League,0.21196069878695725,Posey Relative to League
2018,SFN,NL,105,False,Walks_vs_League,0.20946261449124975,Posey Relative to League
2019,SFN,NL,114,False,Walks_vs_League,0.07650854579112809,Posey Relative to League
2021,SFN,NL,113,False,Walks_vs_League,0.2750533072751565,Posey Relative to League
2009,SFN,NL,7,False,Strikeouts_vs_League,0.08487044402047739,Posey Relative to League
2010,SFN,NL,108,True,Strikeouts_vs_League,0.011500956274682783,Posey Relative to League
2011,SFN,NL,45,False,Strikeouts_vs_League,0.16486975415520855,Posey Relative to League
2012,SFN,NL,148,True,Strikeouts_vs_League,0.12467678484163192,Posey Relative to League
2013,SFN,NL,148,False,Strikeouts_vs_League,-0.0569975761983616,Posey Relative to League
2014,SFN,NL,147,True,Strikeouts_vs_League,-0.06883603881435268,Posey Relative to League
2015,SFN,NL,150,False,Strikeouts_vs_League,-0.18422623604691823,Posey Relative to League
2016,SFN,NL,146,False,Strikeouts_vs_League,-0.08756732309622373,Posey Relative to League
2017,SFN,NL,140,False,Strikeouts_vs_League,-0.09546850672757123,Posey Relative to League
2018,SFN,NL,105,False,Strikeouts_vs_League,-0.07083524567810073,Posey Relative to League
2019,SFN,NL,114,False,Strikeouts_vs_League,0.0254212689807215,Posey Relative to League
2021,SFN,NL,113,False,Strikeouts_vs_League,0.18146677452712312,Posey Relative to League
2009,SFN,NL,7,False,Doubles_vs_League,-0.1265534922796141,Posey Relative to League
2010,SFN,NL,108,True,Doubles_vs_League,0.08983648482132253,Posey Relative to League
2011,SFN,NL,45,False,Doubles_vs_League,-0.01109348956691418,Posey Relative to League
2012,SFN,NL,148,True,Doubles_vs_League,0.14468269028533126,Posey Relative to League
2013,SFN,NL,148,False,Doubles_vs_League,0.11103134086329793,Posey Relative to League
2014,SFN,NL,147,True,Doubles_vs_League,0.07350476847630547,Posey Relative to League
2015,SFN,NL,150,False,Doubles_vs_League,0.06981521913781535,Posey Relative to League
2016,SFN,NL,146,False,Doubles_vs_League,0.10886795310760047,Posey Relative to League
2017,SFN,NL,140,False,Doubles_vs_League,0.12415988659150529,Posey Relative to League
2018,SFN,NL,105,False,Doubles_vs_League,0.0940886928874078,Posey Relative to League
2019,SFN,NL,114,False,Doubles_vs_League,0.09151788992038155,Posey Relative to League
2021,SFN,NL,113,False,Doubles_vs_League,0.09375358712831174,Posey Relative to League
2009,SFN,NL,7,False,Triples_vs_League,-0.013746052898403777,Posey Relative to League
2010,SFN,NL,108,True,Triples_vs_League,0.005953407739510669,Posey Relative to League
2011,SFN,NL,45,False,Triples_vs_League,-0.01306580919262611,Posey Relative to League
2012,SFN,NL,148,True,Triples_vs_League,-0.006577727341115766,Posey Relative to League
2013,SFN,NL,148,False,Triples_vs_League,-0.00438836075782429,Posey Relative to League
2014,SFN,NL,147,True,Triples_vs_League,0.0014008535965705938,Posey Relative to League
2015,SFN,NL,150,False,Triples_vs_League,-0.013312728613151104,Posey Relative to League
2016,SFN,NL,146,False,Triples_vs_League,0.0013070388181973536,Posey Relative to League
2017,SFN,NL,140,False,Triples_vs_League,-0.011237860989779906,Posey Relative to League
2018,SFN,NL,105,False,Triples_vs_League,-0.002307451825540943,Posey Relative to League
2019,SFN,NL,114,False,Triples_vs_League,-0.010950839796886335,Posey Relative to League
2021,SFN,NL,113,False,Triples_vs_League,-0.009368760559053908,Posey Relative to League
2009,SFN,NL,7,False,Post_Hits,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Hits,17.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Hits,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Hits,12.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Hits,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Hits,17.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Hits,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Hits,5.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Hits,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Hits,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Hits,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Hits,6.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_HR,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_HR,1.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_HR,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_HR,3.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_HR,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_HR,0.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_HR,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_HR,0.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_HR,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_HR,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_HR,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_HR,1.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_RBI,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_RBI,5.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_RBI,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_RBI,9.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_RBI,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_RBI,7.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_RBI,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_RBI,2.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_RBI,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_RBI,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_RBI,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_RBI,2.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Doubles,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Doubles,3.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Doubles,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Doubles,0.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Doubles,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Doubles,0.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Doubles,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Doubles,1.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Doubles,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Doubles,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Doubles,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Doubles,2.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Triples,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Triples,0.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Triples,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Triples,0.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Triples,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Triples,0.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Triples,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Triples,0.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Triples,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Triples,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Triples,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Triples,0.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_AB,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_AB,59.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_AB,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_AB,60.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_AB,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_AB,69.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_AB,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_AB,18.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_AB,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_AB,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_AB,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_AB,20.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Games,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Games,15.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Games,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Games,16.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Games,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Games,17.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Games,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Games,5.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Games,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Games,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Games,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Games,5.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Walks,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Walks,6.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Walks,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Walks,8.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Walks,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Walks,6.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Walks,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Walks,3.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Walks,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Walks,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Walks,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Walks,0.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Strikeouts,,Postseason Counting Stat
2010,SFN,NL,108,True,Post_Strikeouts,18.0,Postseason Counting Stat
2011,SFN,NL,45,False,Post_Strikeouts,,Postseason Counting Stat
2012,SFN,NL,148,True,Post_Strikeouts,15.0,Postseason Counting Stat
2013,SFN,NL,148,False,Post_Strikeouts,,Postseason Counting Stat
2014,SFN,NL,147,True,Post_Strikeouts,7.0,Postseason Counting Stat
2015,SFN,NL,150,False,Post_Strikeouts,,Postseason Counting Stat
2016,SFN,NL,146,False,Post_Strikeouts,1.0,Postseason Counting Stat
2017,SFN,NL,140,False,Post_Strikeouts,,Postseason Counting Stat
2018,SFN,NL,105,False,Post_Strikeouts,,Postseason Counting Stat
2019,SFN,NL,114,False,Post_Strikeouts,,Postseason Counting Stat
2021,SFN,NL,113,False,Post_Strikeouts,6.0,Postseason Counting Stat
2009,SFN,NL,7,False,Post_Hits_per_Game,,Postseason Per-Game
2010,SFN,NL,108,True,Post_Hits_per_Game,1.1333333333333333,Postseason Per-Game
2011,SFN,NL,45,False,Post_Hits_per_Game,,Postseason Per-Game
2012,SFN,NL,148,True,Post_Hits_per_Game,0.75,Postseason Per-Game
2013,SFN,NL,148,False,Post_Hits_per_Game,,Postseason Per-Game
2014,SFN,NL,147,True,Post_Hits_per_Game,1.0,Postseason Per-Game
2015,SFN,NL,150,False,Post_Hits_per_Game,,Postseason Per-Game
2016,SFN,NL,146,False,Post_Hits_per_Game,1.0,Postseason Per-Game
2017,SFN,NL,140,False,Post_Hits_per_Game,,Postseason Per-Game
2018,SFN,NL,105,False,Post_Hits_per_Game,,Postseason Per-Game
2019,SFN,NL,114,False,Post_Hits_per_Game,,Postseason Per-Game
2021,SFN,NL,113,False,Post_Hits_per_Game,1.2,Postseason Per-Game
2009,SFN,NL,7,False,Post_HR_per_Game,,Postseason Per-Game
2010,SFN,NL,108,True,Post_HR_per_Game,0.06666666666666667,Postseason Per-Game
2011,SFN,NL,45,False,Post_HR_per_Game,,Postseason Per-Game
2012,SFN,NL,148,True,Post_HR_per_Game,0.1875,Postseason Per-Game
2013,SFN,NL,148,False,Post_HR_per_Game,,Postseason Per-Game
2014,SFN,NL,147,True,Post_HR_per_Game,0.0,Postseason Per-Game
2015,SFN,NL,150,False,Post_HR_per_Game,,Postseason Per-Game
2016,SFN,NL,146,False,Post_HR_per_Game,0.0,Postseason Per-Game
2017,SFN,NL,140,False,Post_HR_per_Game,,Postseason Per-Game
2018,SFN,NL,105,False,Post_HR_per_Game,,Postseason Per-Game
2019,SFN,NL,114,False,Post_HR_per_Game,,Postseason Per-Game
2021,SFN,NL,113,False,Post_HR_per_Game,0.2,Postseason Per-Game
2009,SFN,NL,7,False,Post_RBI_per_Game,,Postseason Per-Game
2010,SFN,NL,108,True,Post_RBI_per_Game,0.3333333333333333,Postseason Per-Game
2011,SFN,NL,45,False,Post_RBI_per_Game,,Postseason Per-Game
2012,SFN,NL,148,True,Post_RBI_per_Game,0.5625,Postseason Per-Game
2013,SFN,NL,148,False,Post_RBI_per_Game,,Postseason Per-Game
2014,SFN,NL,147,True,Post_RBI_per_Game,0.4117647058823529,Postseason Per-Game
2015,SFN,NL,150,False,Post_RBI_per_Game,,Postseason Per-Game
2016,SFN,NL,146,False,Post_RBI_per_Game,0.4,Postseason Per-Game
2017,SFN,NL,140,False,Post_RBI_per_Game,,Postseason Per-Game
2018,SFN,NL,105,False,Post_RBI_per_Game,,Postseason Per-Game
2019,SFN,NL,114,False,Post_RBI_per_Game,,Postseason Per-Game
2021,SFN,NL,113,False,Post_RBI_per_Game,0.4,Postseason Per-Game
2009,SFN,NL,7,False,Post_Walks_per_Game,,Postseason Per-Game
2010,SFN,NL,108,True,Post_Walks_per_Game,0.4,Postseason Per-Game
2011,SFN,NL,45,False,Post_Walks_per_Game,,Postseason Per-Game
2012,SFN,NL,148,True,Post_Walks_per_Game,0.5,Postseason Per-Game
2013,SFN,NL,148,False,Post_Walks_per_Game,,Postseason Per-Game
2014,SFN,NL,147,True,Post_Walks_per_Game,0.35294117647058826,Postseason Per-Game
2015,SFN,NL,150,False,Post_Walks_per_Game,,Postseason Per-Game
2016,SFN,NL,146,False,Post_Walks_per_Game,0.6,Postseason Per-Game
2017,SFN,NL,140,False,Post_Walks_per_Game,,Postseason Per-Game
2018,SFN,NL,105,False,Post_Walks_per_Game,,Postseason Per-Game
2019,SFN,NL,114,False,Post_Walks_per_Game,,Postseason Per-Game
2021,SFN,NL,113,False,Post_Walks_per_Game,0.0,Postseason Per-Game
2009,SFN,NL,7,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2010,SFN,NL,108,True,Hits_Post_vs_Reg,-0.014814814814814836,Postseason vs Regular Season
2011,SFN,NL,45,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2012,SFN,NL,148,True,Hits_Post_vs_Reg,-0.45270270270270263,Postseason vs Regular Season
2013,SFN,NL,148,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2014,SFN,NL,147,True,Hits_Post_vs_Reg,-0.15646258503401356,Postseason vs Regular Season
2015,SFN,NL,150,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2016,SFN,NL,146,False,Hits_Post_vs_Reg,-0.06164383561643838,Postseason vs Regular Season
2017,SFN,NL,140,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2018,SFN,NL,105,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2019,SFN,NL,114,False,Hits_Post_vs_Reg,,Postseason vs Regular Season
2021,SFN,NL,113,False,Hits_Post_vs_Reg,0.1380530973451326,Postseason vs Regular Season
2009,SFN,NL,7,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2010,SFN,NL,108,True,HR_Post_vs_Reg,-0.09999999999999999,Postseason vs Regular Season
2011,SFN,NL,45,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2012,SFN,NL,148,True,HR_Post_vs_Reg,0.02533783783783783,Postseason vs Regular Season
2013,SFN,NL,148,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2014,SFN,NL,147,True,HR_Post_vs_Reg,-0.14965986394557823,Postseason vs Regular Season
2015,SFN,NL,150,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2016,SFN,NL,146,False,HR_Post_vs_Reg,-0.0958904109589041,Postseason vs Regular Season
2017,SFN,NL,140,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2018,SFN,NL,105,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2019,SFN,NL,114,False,HR_Post_vs_Reg,,Postseason vs Regular Season
2021,SFN,NL,113,False,HR_Post_vs_Reg,0.040707964601769925,Postseason vs Regular Season
2009,SFN,NL,7,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2010,SFN,NL,108,True,RBI_Post_vs_Reg,-0.28703703703703703,Postseason vs Regular Season
2011,SFN,NL,45,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2012,SFN,NL,148,True,RBI_Post_vs_Reg,-0.13344594594594594,Postseason vs Regular Season
2013,SFN,NL,148,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2014,SFN,NL,147,True,RBI_Post_vs_Reg,-0.19367747098839538,Postseason vs Regular Season
2015,SFN,NL,150,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2016,SFN,NL,146,False,RBI_Post_vs_Reg,-0.147945205479452,Postseason vs Regular Season
2017,SFN,NL,140,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2018,SFN,NL,105,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2019,SFN,NL,114,False,RBI_Post_vs_Reg,,Postseason vs Regular Season
2021,SFN,NL,113,False,RBI_Post_vs_Reg,-0.09557522123893802,Postseason vs Regular Season
