Season,Team,League,Games,Stat,Value,Stat_Type
2014,SFN,NL,147,Total_Bases,268.0,Counting Stat
2015,SFN,NL,150,Total_Bases,262.0,Counting Stat
2016,SFN,NL,146,Total_Bases,234.0,Counting Stat
2017,SFN,NL,140,Total_Bases,228.0,Counting Stat
2018,SFN,NL,105,Total_Bases,152.0,Counting Stat
2019,SFN,NL,114,Total_Bases,149.0,Counting Stat
2021,SFN,NL,113,Total_Bases,197.0,Counting Stat
2009,SFN,NL,7,Batting_Average,0.11764705882352941,Rate Stat
2010,SFN,NL,108,Batting_Average,0.3054187192118227,Rate Stat
2011,SFN,NL,45,Batting_Average,0.2839506172839506,Rate Stat
2012,SFN,NL,148,Batting_Average,0.33584905660377357,Rate Stat
2013,SFN,NL,148,Batting_Average,0.29423076923076924,Rate Stat
2014,SFN,NL,147,Batting_Average,0.31078610603290674,Rate Stat
2015,SFN,NL,150,Batting_Average,0.3177737881508079,Rate Stat
2016,SFN,NL,146,Batting_Average,0.287569573283859,Rate Stat
2017,SFN,NL,140,Batting_Average,0.31983805668016196,Rate Stat
2018,SFN,NL,105,Batting_Average,0.28391959798994976,Rate Stat
2019,SFN,NL,114,Batting_Average,0.25679012345679014,Rate Stat
2021,SFN,NL,113,Batting_Average,0.3037974683544304,Rate Stat
2009,SFN,NL,7,On_Base_Percentage,0.11764705882352941,Rate Stat
2010,SFN,NL,108,On_Base_Percentage,0.35665914221218964,Rate Stat
2011,SFN,NL,45,On_Base_Percentage,0.3675675675675676,Rate Stat
2012,SFN,NL,148,On_Base_Percentage,0.4081967213114754,Rate Stat
2013,SFN,NL,148,On_Base_Percentage,0.37142857142857144,Rate Stat
2014,SFN,NL,147,On_Base_Percentage,0.36363636363636365,Rate Stat
2015,SFN,NL,150,On_Base_Percentage,0.37881219903691815,Rate Stat
2016,SFN,NL,146,On_Base_Percentage,0.36156351791530944,Rate Stat
2017,SFN,NL,140,On_Base_Percentage,0.3996478873239437,Rate Stat
2018,SFN,NL,105,On_Base_Percentage,0.359375,Rate Stat
2019,SFN,NL,114,On_Base_Percentage,0.31981981981981983,Rate Stat
2021,SFN,NL,113,On_Base_Percentage,0.3898678414096916,Rate Stat
